fecha;tipo_registro;depto_municipio;fecha_primer_caso;increm_casos;increm_muertes
19/12/2020;P;COL;06/03/2020;0.0094;0.0271
19/12/2020;D;5;09/03/2020;0.0085;0.0244
19/12/2020;D;8;16/03/2020;0.0100;0.0269
19/12/2020;D;11;06/03/2020;0.0099;0.0274
19/12/2020;D;13;11/03/2020;0.0175;0.0464
19/12/2020;D;15;25/03/2020;0.0074;0.0324
19/12/2020;D;17;13/03/2020;0.0085;0.0240
19/12/2020;D;18;18/04/2020;0.0049;0.0098
19/12/2020;D;19;19/03/2020;0.0057;0.0187
19/12/2020;D;20;22/03/2020;0.0042;0.0184
19/12/2020;D;23;28/03/2020;0.0027;0.0058
19/12/2020;D;25;15/03/2020;0.0110;0.0321
19/12/2020;D;27;11/04/2020;0.0021;0.0103
19/12/2020;D;41;12/03/2020;0.0054;0.0184
19/12/2020;D;44;31/03/2020;0.0111;0.0220
19/12/2020;D;47;20/03/2020;0.0087;0.0242
19/12/2020;D;50;13/03/2020;0.0086;0.0203
19/12/2020;D;52;24/03/2020;0.0084;0.0275
19/12/2020;D;54;15/03/2020;0.0128;0.0413
19/12/2020;D;63;17/03/2020;0.0133;0.0412
19/12/2020;D;66;14/03/2020;0.0222;0.0589
19/12/2020;D;68;16/03/2020;0.0097;0.0278
19/12/2020;D;70;29/03/2020;0.0028;0.0078
19/12/2020;D;73;17/03/2020;0.0168;0.0485
19/12/2020;D;76;09/03/2020;0.0073;0.0236
19/12/2020;D;81;12/05/2020;0.0047;0.0130
19/12/2020;D;85;22/03/2020;0.0072;0.0198
19/12/2020;D;86;10/05/2020;0.0079;0.0243
19/12/2020;D;88;22/03/2020;0.0021;0.0076
19/12/2020;D;91;17/04/2020;0.0003;0.0013
19/12/2020;D;94;28/05/2020;0.0000;0.0008
19/12/2020;D;95;07/06/2020;0.0032;0.0058
19/12/2020;D;97;12/05/2020;0.0009;0.0009
19/12/2020;D;99;29/05/2020;0.0064;0.0091
19/12/2020;M;11001;06/03/2020;0.0098;0.0274
19/12/2020;M;5001;09/03/2020;0.0070;0.0221
19/12/2020;M;76001;13/03/2020;0.0065;0.0207
19/12/2020;M;8001;16/03/2020;0.0123;0.0328
19/12/2020;M;13001;11/03/2020;0.0196;0.0525
19/12/2020;M;54001;15/03/2020;0.0149;0.0485
19/12/2020;M;25754;16/03/2020;0.0028;0.0168
19/12/2020;M;8758;25/03/2020;0.0063;0.0200
19/12/2020;M;68001;15/03/2020;0.0103;0.0290
19/12/2020;M;5088;21/03/2020;0.0073;0.0203
19/12/2020;M;50001;13/03/2020;0.0087;0.0212
19/12/2020;M;73001;17/03/2020;0.0154;0.0467
19/12/2020;M;47001;20/03/2020;0.0110;0.0279
19/12/2020;M;20001;22/03/2020;0.0044;0.0222
19/12/2020;M;23001;29/03/2020;0.0018;0.0050
19/12/2020;M;66001;17/03/2020;0.0215;0.0572
19/12/2020;M;17001;13/03/2020;0.0079;0.0235
19/12/2020;M;52001;28/03/2020;0.0098;0.0312
19/12/2020;M;41001;12/03/2020;0.0050;0.0188
19/12/2020;M;76520;13/03/2020;0.0115;0.0337
19/12/2020;M;19001;19/03/2020;0.0068;0.0182
19/12/2020;M;76109;05/04/2020;0.0043;0.0110
19/12/2020;M;68276;16/03/2020;0.0081;0.0267
19/12/2020;M;63001;17/03/2020;0.0135;0.0431
19/12/2020;M;70001;29/03/2020;0.0027;0.0077
19/12/2020;M;5360;11/03/2020;0.0071;0.0226
19/12/2020;M;52835;31/03/2020;0.0009;0.0067
19/12/2020;M;5266;20/03/2020;0.0095;0.0275
19/12/2020;M;66170;14/03/2020;0.0284;0.0730
19/12/2020;M;76834;24/03/2020;0.0086;0.0376
19/12/2020;M;68081;06/04/2020;0.0026;0.0171
19/12/2020;M;44001;31/03/2020;0.0141;0.0236
19/12/2020;M;44847;04/06/2020;0.0023;0.0069
19/12/2020;M;44430;29/04/2020;0.0075;0.0185
19/12/2020;M;68547;23/04/2020;0.0114;0.0247
19/12/2020;M;15001;26/03/2020;0.0084;0.0248
19/12/2020;M;85001;22/03/2020;0.0062;0.0203
19/12/2020;M;18001;18/04/2020;0.0048;0.0095
19/12/2020;M;68307;31/05/2020;0.0079;0.0197
19/12/2020;M;76364;08/04/2020;0.0062;0.0236
19/12/2020;M;25269;09/04/2020;0.0118;0.0258
19/12/2020;M;25290;24/03/2020;0.0233;0.0532
19/12/2020;M;25473;24/03/2020;0.0091;0.0296
19/12/2020;M;25175;20/03/2020;0.0121;0.0342
19/12/2020;M;25899;31/03/2020;0.0091;0.0266
19/12/2020;M;5615;14/03/2020;0.0221;0.0531
19/12/2020;M;13430;08/05/2020;0.0007;0.0093
19/12/2020;M;8433;13/04/2020;0.0071;0.0138
19/12/2020;M;76147;21/03/2020;0.0162;0.0401
19/12/2020;M;15759;11/04/2020;0.0057;0.0267
19/12/2020;M;27001;11/04/2020;0.0019;0.0114
19/12/2020;M;5837;15/05/2020;0.0091;0.0128
19/12/2020;M;54498;09/04/2020;0.0084;0.0218
19/12/2020;M;76111;09/03/2020;0.0031;0.0357
19/12/2020;M;41551;11/04/2020;0.0061;0.0166
19/12/2020;M;5045;23/03/2020;0.0025;0.0058
19/12/2020;M;25430;20/03/2020;0.0117;0.0265
19/12/2020;M;15238;01/05/2020;0.0072;0.0455
19/12/2020;M;47189;30/03/2020;0.0029;0.0081
19/12/2020;M;20011;25/04/2020;0.0050;0.0109
19/12/2020;M;52356;24/03/2020;0.0100;0.0302
19/12/2020;M;23417;22/04/2020;0.0033;0.0042
19/12/2020;M;13836;28/03/2020;0.0138;0.0365
19/12/2020;M;19698;01/04/2020;0.0018;0.0119
19/12/2020;M;54874;21/03/2020;0.0057;0.0272
19/12/2020;M;23660;28/03/2020;0.0008;0.0033
19/12/2020;M;76892;21/03/2020;0.0092;0.0145
19/12/2020;M;25307;14/05/2020;0.0274;0.0588
19/12/2020;M;23162;11/04/2020;0.0060;0.0070
19/12/2020;M;25286;24/03/2020;0.0121;0.0368
19/12/2020;M;8638;30/04/2020;0.0051;0.0237
19/12/2020;M;54405;24/03/2020;0.0096;0.0333
19/12/2020;M;81001;12/05/2020;0.0042;0.0124
19/12/2020;M;5154;16/05/2020;0.0000;0.0011
19/12/2020;M;23807;11/04/2020;0.0088;0.0089
19/12/2020;M;76130;11/04/2020;0.0047;0.0171
19/12/2020;M;44560;16/05/2020;0.0168;0.0170
19/12/2020;M;25126;17/03/2020;0.0081;0.0418
19/12/2020;M;50006;05/04/2020;0.0047;0.0132
19/12/2020;M;5631;23/03/2020;0.0086;0.0287
19/12/2020;M;23466;08/05/2020;0.0024;0.0033
19/12/2020;M;5129;02/04/2020;0.0064;0.0257
19/12/2020;M;5212;08/04/2020;0.0151;0.0390
19/12/2020;M;66682;08/04/2020;0.0152;0.0547
19/12/2020;M;99773;12/08/2020;0.0000;0.0000
19/12/2020;M;5380;20/03/2020;0.0099;0.0241
19/12/2020;M;63130;22/03/2020;0.0132;0.0350
19/12/2020;M;41298;18/04/2020;0.0026;0.0217
19/12/2020;M;17380;22/03/2020;0.0086;0.0109
19/12/2020;M;47980;12/04/2020;0.0000;0.0000
19/12/2020;M;13052;29/03/2020;0.0193;0.0566
19/12/2020;M;13244;28/05/2020;0.0072;0.0098
19/12/2020;M;73268;09/04/2020;0.0082;0.0317
19/12/2020;M;70215;27/05/2020;0.0056;0.0123
